"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00012730",24.3975775476216,1.54232557196079,0.99059379009429,1.55697076580097,0.11947742641407,0.999943844934187
"WBGene00001168",4473.70813229885,0.177052669966243,0.137032865536741,1.29204530075868,0.196341456982224,0.999943844934187
"WBGene00004478",2653.37843497932,0.377951432828123,0.164476879613195,2.29790006788165,0.0215674774340099,0.999943844934187
"WBGene00004492",2806.65917835602,0.428886334364192,0.166171884194102,2.5809801486226,0.00985202468080959,0.999943844934187
"WBGene00004494",3035.74877913587,0.284885074310713,0.160218298961342,1.77810572298893,0.0753864926950554,0.999943844934187
"WBGene00004409",3224.40641430372,0.465521202329017,0.167349825883751,2.78172504734118,0.00540708276893363,0.999943844934187
"WBGene00004421",2399.70739462665,0.275207051854703,0.154063134563959,1.7863264474893,0.0740464170926117,0.999943844934187
"WBGene00021350",2895.23745122034,0.387149170953345,0.171230424109755,2.26098354288483,0.02376027616723,0.999943844934187
"WBGene00004477",2615.29015778748,0.242315177688846,0.153802616759781,1.57549450583997,0.115142345646234,0.999943844934187
"WBGene00004408",2972.37409600376,0.502863667905284,0.163087136572661,3.0834048501504,0.00204646540958163,0.999943844934187
"WBGene00000214",1974.19899462941,0.212440059067417,0.15806173731444,1.34403216538611,0.178937985819829,0.999943844934187
"WBGene00004472",2324.58502583722,0.313774908314791,0.163786618271483,1.91575423942569,0.0553963849175808,0.999943844934187
"WBGene00006439",2426.12122951114,0.143782887034543,0.160666929705168,0.894912769531301,0.370833720063655,0.999943844934187
"WBGene00004441",1951.81629791518,0.188455198485285,0.162141209225757,1.16229056996171,0.245117455778812,0.999943844934187
"WBGene00004480",2313.94822893264,0.290798725328329,0.154575202102186,1.88127669492606,0.0599342895251791,0.999943844934187
"WBGene00004431",2031.44733188105,0.294880946720938,0.161007566325877,1.83147260374151,0.0670300332043647,0.999943844934187
"WBGene00004484",1958.9185380647,0.292995281075752,0.175509865926392,1.66939493417784,0.0950391369440432,0.999943844934187
"WBGene00004493",2231.80721896651,0.387364105998438,0.171199811676936,2.26264329501376,0.0236576869636443,0.999943844934187
"WBGene00004414",3037.89730341322,0.110726666696614,0.151179699671029,0.732417559616526,0.463913744280064,0.999943844934187
"WBGene00004427",2168.93511656998,0.278124667813042,0.15652329714023,1.7768899128407,0.0755863543608595,0.999943844934187
"WBGene00006728",2054.8344556723,0.39590669655896,0.168904281348116,2.34397075905368,0.0190796671734385,0.999943844934187
"WBGene00004476",2154.32302279495,0.380038442424178,0.163683498241097,2.32178836906578,0.0202443338386849,0.999943844934187
"WBGene00016493",1881.80675367571,0.351035525756002,0.175122533471141,2.00451374702075,0.0450150558208748,0.999943844934187
"WBGene00001386",1598.47234527584,-0.00350820200528782,0.168435581251055,-0.0208281526933362,0.983382740005607,0.999943844934187
"WBGene00004425",2042.92847397781,0.325596637710159,0.160619319826917,2.0271324648929,0.0426488675389177,0.999943844934187
"WBGene00004481",2261.67255860483,0.416383358314436,0.168727707440046,2.46778294230299,0.0135952730130081,0.999943844934187
"WBGene00004428",1941.85621481623,0.277723520530105,0.162768378732188,1.70624984221941,0.0879615723927224,0.999943844934187
"WBGene00004474",2183.56840720571,0.347620195507768,0.170786780839438,2.03540457756257,0.041810181125087,0.999943844934187
"WBGene00004430",2396.4374694899,0.402797315657547,0.172258273588445,2.33833363859143,0.0193699473054359,0.999943844934187
"WBGene00004483",2245.26418502205,0.463521180301023,0.176303277603492,2.6291126665466,0.00856079930417818,0.999943844934187
"WBGene00004469",2098.88400072234,0.293233762260449,0.162502522619485,1.80448744754002,0.0711549252139325,0.999943844934187
"WBGene00004488",1851.24491611749,0.306732824354051,0.168697547369721,1.81824116080247,0.0690272814616622,0.999943844934187
"WBGene00006930",335.616555074495,-0.533130005151002,1.48909033424492,-0.358023951193893,0.720325389549559,0.999943844934187
"WBGene00004454",1981.75083259445,0.452232033675917,0.173242542341864,2.61039827494285,0.00904368643945393,0.999943844934187
"WBGene00004433",2068.08033260151,0.362342818321132,0.173406487981021,2.08955744701311,0.0366575724260918,0.999943844934187
"WBGene00012615",778.278808654456,0.227332790829116,0.204329674374283,1.11257844229075,0.265889523339108,0.999943844934187
"WBGene00004412",2265.66811636832,0.280430410886565,0.167448277470499,1.67472854975155,0.0939875032083662,0.999943844934187
"WBGene00004452",2258.13598487497,0.468384619132269,0.168621291249573,2.77773118484202,0.0054739883913048,0.999943844934187
"WBGene00004436",2115.2119834418,0.405880124628377,0.172398454368535,2.35431417361046,0.0185569194688215,0.999943844934187
"WBGene00004418",1854.50785755903,0.261037326817496,0.166052481016754,1.57201702268549,0.115946603449241,0.999943844934187
"WBGene00004456",1795.9299939675,0.119581222468611,0.176659110706232,0.676903795057952,0.498466996078913,0.999943844934187
"WBGene00004496",1753.03284881753,0.34319402499606,0.167254283692591,2.05192965716108,0.0401764991468863,0.999943844934187
"WBGene00044638",479.821317694465,0.62732295011723,0.337802293972779,1.85707131452394,0.0633010087077423,0.999943844934187
"WBGene00004487",1856.65362751241,0.315083545670707,0.168905799638315,1.86543947185596,0.0621198289580667,0.999943844934187
"WBGene00004429",1972.44783376242,0.392551911547908,0.165969823527818,2.36520051177926,0.0180203115200628,0.999943844934187
"WBGene00004420",1940.33985600505,0.350824471846422,0.163549639109449,2.14506417596952,0.0319477162174832,0.999943844934187
"WBGene00004450",1971.14961069769,0.423859595445002,0.173562170070607,2.44211970426834,0.0146013042517894,0.999943844934187
